Symbol,Name,Wtd Alpha,Last,Change,%Chg,52W High,52W Low,52W %Chg,Time
KDP,Keurig Dr Pepper Inc,-6.8,32.83,0.31,0.95%,36.56,27.66,-9.53%,2023/12/22
KEY,Keycorp,6,14.29,0.01,0.07%,20.3,8.53,-16.29%,2023/12/22
KEYS,Keysight Technologies Inc,0,159.21,0.38,0.24%,189.32,118.57,-6.23%,2023/12/22
KHC,Kraft Heinz Company,-6.8,36.36,0.4,1.11%,42.8,30.68,-9.91%,2023/12/22
KIM,Kimco Realty Corp,10.2,21.76,-0.08,-0.37%,23.27,16.34,4.11%,2023/12/22
KLAC,K L A-Tencor Corp,59.8,582.65,2.2,0.38%,593,355.88,55.85%,2023/12/22
KMB,Kimberly-Clark Corp,-13.2,120.21,0.78,0.65%,147.87,116.32,-12.54%,2023/12/22
KMI,Kinder Morgan,0.3,17.72,0.08,0.45%,19.09,15.89,-0.11%,2023/12/22
KMX,Carmax Inc,23.1,76.52,-2.03,-2.58%,87.5,55.76,33.78%,2023/12/22
KO,Coca-Cola Company,-7.5,58.32,0.33,0.57%,64.99,51.55,-7.93%,2023/12/22
KR,Kroger Company,-2.5,45.14,0.12,0.27%,50.36,42.1,-0.24%,2023/12/22
KVUE,Kenvue Inc,-19.4,21.36,0.14,0.66%,27.8,17.82,N/A,2023/12/22
L,Loews Corp,21.8,68.8,0.28,0.41%,70.88,52.85,20.30%,2023/12/22
LDOS,Leidos Holdings Inc,11.1,107.63,1.04,0.98%,111.39,76.58,2.72%,2023/12/22
LEN,Lennar Corp,66.2,147.42,-0.49,-0.33%,156.01,88.42,61.93%,2023/12/22
LH,Laboratory Corp of America Holdings,19.1,224.02,1.87,0.84%,225.26,174.2,16.02%,2023/12/22
LHX,L3Harris Technologies Inc,7.4,208.49,0.95,0.46%,219.31,160.25,1.80%,2023/12/22
LIN,Linde Plc,25.2,410.74,1.61,0.39%,434.21,302.17,25.36%,2023/12/22
LKQ,LKQ Corp,-13.3,47.8,0.37,0.78%,59.38,41.49,-10.02%,2023/12/22
LLY,Eli Lilly and Company,55.1,570.39,-1.61,-0.28%,629.97,309.2,56.14%,2023/12/22
LMT,Lockheed Martin Corp,-5.8,448.22,0.2,0.04%,508.1,393.77,-6.48%,2023/12/22
LNT,Alliant Energy Corp,-6.9,50.94,0.37,0.73%,56.46,45.15,-6.99%,2023/12/22
LOW,Lowe's Companies,11.8,223,-0.55,-0.25%,237.21,181.85,11.98%,2023/12/22
LRCX,Lam Research Corp,86.1,779.99,3.07,0.40%,784.1,399.29,90.66%,2023/12/22
LULU,Lululemon Athletica,73.9,510,-1.03,-0.20%,511.6,286.58,62.98%,2023/12/22
LUV,Southwest Airlines Company,-14.9,29.5,-0.1,-0.34%,39.53,21.91,-16.81%,2023/12/22
LVS,Las Vegas Sands,-2.3,48.92,0.13,0.27%,65.58,43.77,5.16%,2023/12/22
LW,Lamb Weston Holdings Inc,13.9,104.7,0.74,0.71%,117.38,81.25,18.20%,2023/12/22
LYB,Lyondellbasell Industries NV,12.7,96.06,-0.38,-0.39%,102.04,81.24,17.89%,2023/12/22
LYV,Live Nation Entertainment,29.4,91.43,0.03,0.03%,101.74,64.25,29.56%,2023/12/22
MA,Mastercard Inc,23.3,424.1,0.66,0.16%,427.61,337.69,24.18%,2023/12/22
MAA,Mid-America Apartment Communities,-14.9,133.12,1.09,0.83%,176.36,115.56,-14.08%,2023/12/22
MAR,Marriot Int Cl A,49.9,222.62,0.78,0.35%,224.22,145.58,51.22%,2023/12/22
MAS,Masco Corp,47.1,67.22,-0.16,-0.24%,69.66,46.09,43.23%,2023/12/22
MCD,McDonald's Corp,9.6,291.7,0.31,0.11%,299.35,245.73,9.76%,2023/12/22
MCHP,Microchip Technology,28.9,90.19,0.31,0.34%,94.3,67.69,29.01%,2023/12/22
MCK,Mckesson Corp,20.8,454.2,1.49,0.33%,476.35,331.75,18.97%,2023/12/22
MCO,Moody's Corp,41.2,387.58,1.45,0.38%,396.91,272.7,38.82%,2023/12/22
MDLZ,Mondelez Intl Inc,5.2,71.21,0.75,1.06%,78.59,60.75,6.71%,2023/12/22
MDT,Medtronic Inc,4.4,81.92,-0.04,-0.05%,92.02,68.84,6.20%,2023/12/22
MET,Metlife Inc,-1.5,65.86,0.27,0.41%,73.92,48.95,-8.27%,2023/12/22
META,Meta Platforms Inc,161.1,353.39,-0.7,-0.20%,357.2,115.51,201.73%,2023/12/22
MGM,MGM Resorts International,26.4,44.38,-0.11,-0.25%,51.35,32.43,31.50%,2023/12/22
MHK,Mohawk Industries,7.9,103.11,0.16,0.16%,130.63,76.02,6.42%,2023/12/22
MKC,Mccormick & Company,-21.5,67.87,0,0.00%,94.39,59.13,-19.38%,2023/12/22
MKTX,Marketaxess Holdings,5.9,288.19,2.51,0.88%,399.78,200.01,2.28%,2023/12/22
MLM,Martin Marietta Materials,48.2,496.38,3.9,0.79%,499.3,317.94,47.64%,2023/12/22
MMC,Marsh & Mclennan Companies,10.9,187.9,1.08,0.58%,202.81,151.86,13.40%,2023/12/22
MMM,3M Company,-5.5,106.33,0.77,0.73%,129.9,85.35,-12.55%,2023/12/22
MNST,Monster Beverage Cp,9,56.01,0.63,1.14%,60.47,47.13,11.12%,2023/12/22
MO,Altria Group,-14.3,40.36,0.05,0.12%,51.57,39.06,-11.84%,2023/12/22
MOH,Molina Healthcare Inc,15.3,358.38,0.15,0.04%,384.71,256.19,6.88%,2023/12/22
MOS,Mosaic Company,-18.4,36.21,-0.12,-0.33%,57.46,31.44,-19.05%,2023/12/22
MPC,Marathon Petroleum Corp,32,150.87,-1.79,-1.17%,159.65,104.32,35.13%,2023/12/22
MPWR,Monolithic Power Sys,69.8,617.64,-4.09,-0.66%,647.11,336.63,77.69%,2023/12/22
MRK,Merck & Company,-2.6,107.7,1.31,1.23%,119.65,96.36,-3.18%,2023/12/22
MRNA,Moderna Inc,-48.2,94.89,3.73,4.09%,208.99,62.55,-54.45%,2023/12/22
MRO,Marathon Oil Corp,-8.9,24.64,-0.07,-0.28%,32.54,20.57,-7.72%,2023/12/22
MS,Morgan Stanley,10.7,92.41,-0.22,-0.24%,100.99,69.42,6.99%,2023/12/22
MSCI,MSCI Inc,22,562.28,9.26,1.67%,572.5,451.55,21.62%,2023/12/22
MSFT,Microsoft Corp,53.9,374.58,1.04,0.28%,384.3,219.35,57.26%,2023/12/22
MSI,Motorola Solutions,20.4,309.85,-0.7,-0.23%,329.83,251,21.31%,2023/12/22
MTB,M&T Bank Corp,-0.3,136.52,0.31,0.23%,161.99,108.53,-5.69%,2023/12/22
MTCH,Match Group Inc,-15.2,35.2,0.06,0.17%,54.6,27.85,-11.76%,2023/12/22
MTD,Mettler-Toledo International,-13.8,1213.8,4.7,0.39%,1615.97,928.49,-15.62%,2023/12/22
MU,Micron Technology,75.3,86.49,1.01,1.18%,87.49,48.52,74.97%,2023/12/22
NCLH,Norwegian Cruise Ord,67.2,20.95,0,0.00%,22.75,11.76,60.29%,2023/12/22
NDAQ,Nasdaq Inc,-0.4,57.04,0.95,1.69%,63.9,46.88,-6.58%,2023/12/22
NDSN,Nordson Corp,17,261.36,2.19,0.84%,262.43,202.57,11.37%,2023/12/22
NEE,Nextera Energy,-28.7,59.75,0.15,0.25%,86.47,47.15,-28.31%,2023/12/22
NEM,Newmont Mining Corp,-9.4,42.06,0.63,1.52%,60.08,33.58,-11.45%,2023/12/22
NFLX,Netflix Inc,64.4,486.76,-4.85,-0.99%,500.89,273.41,63.48%,2023/12/22
NI,NiSource Inc,-5.2,26.25,0.21,0.81%,28.95,22.86,-4.27%,2023/12/22
NKE,Nike Inc,-7.1,108.04,-14.49,-11.83%,131.31,88.66,-7.43%,2023/12/22
NOC,Northrop Grumman Corp,-8.6,463.13,3.91,0.85%,547.8,414.56,-12.84%,2023/12/22
NOW,Servicenow Inc,82.7,697.55,-3.21,-0.46%,720.68,353.62,83.59%,2023/12/22
NRG,NRG Energy,66,50,-0.09,-0.18%,50.34,30.25,56.79%,2023/12/22
NSC,Norfolk Southern Corp,1.7,234.12,-0.3,-0.13%,260.2,183.09,-4.62%,2023/12/22
NTAP,Netapp Inc,53.2,89.4,-0.15,-0.17%,91.78,58.08,51.60%,2023/12/22
NTRS,Northern Trust Corp,1.4,83.84,0.04,0.05%,100.25,62.44,-4.05%,2023/12/22
NUE,Nucor Corp,32.1,178.06,1.44,0.82%,182.68,129.79,30.06%,2023/12/22
NVDA,Nvidia Corp,168.1,488.3,-1.6,-0.33%,505.48,138.84,218.34%,2023/12/22
NVR,NVR Inc,49.3,6980.1699,40.1899,0.58%,7000,4519.05,49.31%,2023/12/22
NWS,News Corp Cl B,42.6,24.94,0.13,0.52%,25.01,15.73,38.02%,2023/12/22
NWSA,News Corp Cl A,36.9,23.8,0.1,0.42%,23.91,15.57,33.63%,2023/12/22
NXPI,Nxp Semiconductors,46.7,228.95,-0.3,-0.13%,238.27,150.9,45.36%,2023/12/22
O,Realty Income Corp,-9.5,56.89,-0.07,-0.12%,68.85,45.03,-10.34%,2023/12/22
ODFL,Old Dominion Freight Line Inc,39.8,412.97,3.76,0.92%,438.05,279.99,46.46%,2023/12/22
OKE,Oneok Inc,10.3,70.16,0.63,0.91%,71.57,55.91,9.44%,2023/12/22
OMC,Omnicom Group Inc,6.1,86.08,-0.35,-0.40%,99.23,72.2,9.27%,2023/12/22
ON,On Semiconductor,22.7,84.01,0.36,0.43%,111.35,59.61,35.24%,2023/12/22
ORCL,Oracle Corp,21.2,106.2,0.34,0.32%,127.54,79.99,31.94%,2023/12/22
ORLY,O'Reilly Automotive,13.1,952.06,-5.49,-0.57%,1005.96,767.27,15.57%,2023/12/22
OTIS,Otis Worldwide Corp,14.1,89.11,0.71,0.80%,91.33,73.32,14.04%,2023/12/22
OXY,Occidental Petroleum Corp,-4.3,60.81,0.37,0.61%,67.93,55.12,-1.60%,2023/12/22
PANW,Palo Alto Networks Inc,106.4,298.21,-1.19,-0.40%,318,132.22,108.32%,2023/12/22
PARA,Paramount Global Cl B,-11.5,15,-0.07,-0.46%,25.93,10.51,-11.45%,2023/12/22
PAYC,Paycom Software Inc,-19.3,205.6,-1,-0.48%,374.04,146.15,-32.32%,2023/12/22
PAYX,Paychex Inc,4.7,119.86,0.96,0.81%,129.7,104.09,6.85%,2023/12/22
PCAR,Paccar Inc,48.3,97.47,0.57,0.59%,98.47,64.64,46.47%,2023/12/22
PCG,Pacific Gas & Electric Company,10.2,17.62,0.16,0.92%,18.32,14.71,10.47%,2023/12/22
PEAK,Healthpeak Properties Inc,-17.6,19.7,0.3,1.55%,28.43,15.24,-20.98%,2023/12/22
PEG,Public Service Enterprise Group Inc,-1.6,60.65,0.3,0.50%,65.46,53.71,0.86%,2023/12/22
PEP,Pepsico Inc,-8.9,167.68,0.71,0.43%,196.88,155.83,-7.41%,2023/12/22
PFE,Pfizer Inc,-44.3,28.4,0.09,0.32%,51.95,25.76,-45.00%,2023/12/22
PFG,Principal Financial Group Inc,-2.7,78.9,0.19,0.24%,93.87,65.17,-7.26%,2023/12/22
PG,Procter & Gamble Company,-5.1,145.28,1.02,0.71%,158.38,135.83,-4.54%,2023/12/22
PGR,Progressive Corp,24.5,157.76,1.28,0.82%,165.57,111.41,22.67%,2023/12/22
PH,Parker-Hannifin Corp,58,458.19,2.29,0.50%,462.17,286.79,57.71%,2023/12/22
PHM,Pultegroup,123.1,102.43,0,0.00%,105.13,44.59,122.53%,2023/12/22
PKG,Packaging Corp of America,29.1,163.68,0.44,0.27%,171.61,122.2,28.47%,2023/12/22
PLD,Prologis Inc,19,132.4,1.44,1.10%,137.52,96.64,16.89%,2023/12/22
PM,Philip Morris International Inc,-7.9,92.94,0.11,0.12%,105.62,87.23,-7.85%,2023/12/22
PNC,PNC Bank,10.2,152.47,0.7,0.46%,169.07,109.4,-1.18%,2023/12/22
PNR,Pentair Ltd,57.1,71.89,0.6,0.84%,72.52,43.91,62.39%,2023/12/22
PNW,Pinnacle West Capital Corp,-11.2,71.13,0.32,0.45%,86.03,68.55,-7.61%,2023/12/22
PODD,Insulet Corp,-25.1,216.18,-2.79,-1.27%,335.91,125.82,-27.41%,2023/12/22
POOL,Pool Corp,30.1,396.11,0.48,0.12%,423.97,295.95,29.84%,2023/12/22
PPG,PPG Industries,19,148.75,1,0.68%,152.89,120.32,18.19%,2023/12/22
PPL,PPL Corp,-5.8,26.82,0.43,1.63%,31.74,22.2,-8.09%,2023/12/22
PRU,Prudential Financial Inc,11.5,103.54,0.31,0.30%,107.31,75.37,4.95%,2023/12/22
PSA,Public Storage,8.1,297.93,0.79,0.27%,316.48,233.18,6.41%,2023/12/22
PSX,Phillips 66,38.4,134.06,-0.23,-0.17%,136.69,89.74,33.35%,2023/12/22
PTC,Ptc Inc,49.7,173.97,2.78,1.62%,174.06,115.44,42.42%,2023/12/22
PWR,Quanta Services,48.7,214.04,1.59,0.75%,219.17,134.61,50.11%,2023/12/22
PXD,Pioneer Natural Resources Company,1.8,228.63,-0.11,-0.05%,257.76,177.26,3.85%,2023/12/22
PYPL,Paypal Holdings,-10.7,61.84,-0.22,-0.35%,88.63,50.25,-9.81%,2023/12/22
QCOM,Qualcomm Inc,36,143.49,1.05,0.74%,144.4,101.47,29.64%,2023/12/22
QRVO,Qorvo Inc,27.7,112.6,1.39,1.25%,114.59,80.62,23.64%,2023/12/22
RCL,Royal Caribbean Cruises Ltd,153.9,128.21,1.09,0.86%,128.95,47.91,159.01%,2023/12/22
REG,Regency Centers Corp,9.9,66.61,0.05,0.08%,68.56,54.72,6.97%,2023/12/22
REGN,Regeneron Pharmaceuticals,17.1,846.72,4.84,0.57%,887.94,668,15.42%,2023/12/22
RF,Regions Financial Corp,-3.7,19.27,0.13,0.68%,24.33,13.72,-8.59%,2023/12/22
RHI,Robert Half Inc,24,87.27,0.45,0.52%,89.78,64.65,21.29%,2023/12/22
RJF,Raymond James Financial,10,111.71,0.7,0.63%,120.73,82,5.30%,2023/12/22
RL,Ralph Lauren Corp,44.6,145.47,-2.45,-1.66%,148.04,101.19,40.20%,2023/12/22
RMD,Resmed Inc,-17.7,171.4,-3.41,-1.95%,243.52,132.24,-18.05%,2023/12/22
ROK,Rockwell Automation Inc,18.1,307.78,1.03,0.34%,348.52,252.19,20.24%,2023/12/22
ROL,Rollins Inc,18.3,42.98,0.17,0.40%,45.04,32.19,16.26%,2023/12/22
ROP,Roper Industries,28.7,542.85,2.55,0.47%,551.91,416.77,26.68%,2023/12/22
ROST,Ross Stores Inc,26.7,136.42,0.54,0.40%,137.84,99,19.71%,2023/12/22
RSG,Republic Services,26.3,162.69,1.04,0.64%,167.17,120.58,25.69%,2023/12/22
RTX,Rtx Corp,-15.4,83.23,1.22,1.49%,108.84,68.56,-15.51%,2023/12/22
RVTY,Revvity Inc,-20.6,107.71,1.95,1.84%,145.35,79.5,-23.82%,2023/12/22
SBAC,SBA Communications,-3.9,251.43,-0.38,-0.15%,312.34,185.23,-10.23%,2023/12/22
SBUX,Starbucks Corp,-5.6,95.28,-0.05,-0.05%,115.48,89.21,-2.54%,2023/12/22
SCHW,The Charles Schwab Corp,1.8,68.58,0.4,0.59%,86.63,45,-15.12%,2023/12/22
SHW,Sherwin-Williams Company,37.9,311.27,4.34,1.41%,311.86,205.43,29.00%,2023/12/22
SJM,J.M. Smucker Company,-21.4,124.76,1.1,0.89%,163.07,107.33,-21.31%,2023/12/22
SLB,Schlumberger N.V.,0,53.08,0.5,0.95%,62.78,42.73,3.29%,2023/12/22
SNA,Snap-On Inc,26,288.15,1.13,0.39%,297.26,224.45,27.91%,2023/12/22
SNPS,Synopsys Inc,60.6,524.46,-35.5,-6.34%,573.77,312.25,63.02%,2023/12/22
SO,Southern Company,-2.2,69.44,0.07,0.10%,75.8,58.85,-1.87%,2023/12/22
SPG,Simon Property Group,31,142.3,0.08,0.06%,146.91,100.17,22.29%,2023/12/22
SPGI,S&P Global Inc,32.6,434.84,2.15,0.50%,441.67,321.14,30.93%,2023/12/22
SRE,Sempra,-4.4,73.7,0.56,0.77%,81.82,63.75,-6.14%,2023/12/22
STE,Steris Corp,18.3,219.79,1.36,0.62%,254,173.21,20.86%,2023/12/22
STLD,Steel Dynamics Inc,23.2,121.84,1.65,1.37%,136.46,90.55,18.46%,2023/12/22
STT,State Street Corp,4,77.19,0.18,0.23%,94.74,62.78,-0.85%,2023/12/22
STX,Seagate Technology Hldgs Plc,71.8,85.16,-0.14,-0.16%,87.93,49.66,69.61%,2023/12/22
STZ,Constellation Brands Inc,1.2,237.88,2.01,0.85%,273.65,208.12,2.97%,2023/12/22
SWK,Stanley Black & Decker Inc,32.7,98.16,1.24,1.28%,104.21,72.16,33.93%,2023/12/22
SWKS,Skyworks Solutions,24.9,112.84,0.66,0.59%,123.69,85.06,27.17%,2023/12/22
SYF,Synchrony Financial,24.5,37.94,-0.11,-0.29%,38.58,26.59,17.32%,2023/12/22
SYK,Stryker Corp,20,297.5,1.47,0.50%,306.93,239.62,23.05%,2023/12/22
SYY,Sysco Corp,-3,73.53,0,0.00%,82.38,62.24,-4.78%,2023/12/22
T,AT&T Inc,-5.9,16.55,0.06,0.36%,20.5,13.43,-9.41%,2023/12/22
TAP,Molson Coors Brewing Company,14.2,61.36,0.32,0.52%,70.9,48.49,19.28%,2023/12/22
TDG,Transdigm Group Inc,58.2,1000.42,6.3,0.63%,1015.72,615.57,61.61%,2023/12/22
TDY,Teledyne Technologies Inc,11.4,433.45,7.15,1.68%,448.71,364.98,10.21%,2023/12/22
TECH,Bio-Techne Cp,-2.2,77.52,-0.2,-0.26%,89.91,51.79,-6.55%,2023/12/22
TEL,Te Connectivity Ltd,23.5,140.97,1.09,0.78%,146.6,111.94,23.41%,2023/12/22
TER,Teradyne Inc,22,107.63,1.04,0.98%,119.2,81.07,24.99%,2023/12/22
TFC,Truist Financial Corp,-1.1,36.76,0.27,0.74%,53.34,25.56,-13.47%,2023/12/22
TFX,Teleflex Inc,6.4,250.95,-0.48,-0.19%,276.43,177.63,1.17%,2023/12/22
TGT,Target Corp,0.1,140.2,0.83,0.60%,181.7,102.93,-0.81%,2023/12/22
TJX,TJX Companies,17.3,91.85,0.47,0.51%,93.78,72.92,17.13%,2023/12/22
TMO,Thermo Fisher Scientific Inc,-1,529.05,2.49,0.47%,609.85,415.6,-1.87%,2023/12/22
TMUS,T-Mobile US,14.6,155.71,0.78,0.50%,161.19,124.92,11.60%,2023/12/22
TPR,Tapestry Inc,-0.1,37.05,-0.5,-1.33%,47.48,25.99,-0.94%,2023/12/22
TRGP,Targa Resources,19.4,86.71,-0.4,-0.46%,91.43,64.85,22.63%,2023/12/22
TRMB,Trimble Navigation,8.3,52.44,0.08,0.15%,62.01,39.57,7.61%,2023/12/22
TROW,T Rowe Price Group,-2.3,107.89,1,0.94%,132.76,87.43,-2.17%,2023/12/22
TRV,The Travelers Companies Inc,3.6,185.8,0.23,0.12%,194.51,157.33,-0.75%,2023/12/22
TSCO,Tractor Supply Company,-3.3,211.92,0.22,0.10%,251.17,185,-0.53%,2023/12/22
TSLA,Tesla Inc,69.8,252.54,-1.96,-0.77%,299.29,101.81,101.47%,2023/12/22
TSN,Tyson Foods,-12.6,51.94,0.28,0.54%,74.07,44.94,-14.68%,2023/12/22
TT,Trane Technologies Plc,48.2,242.4,-1,-0.41%,244.78,162.04,43.18%,2023/12/22
TTWO,Take-Two Interactive,58.9,161.95,1.56,0.97%,164.85,97.78,63.14%,2023/12/22
TXN,Texas Instruments,2.2,168.24,1.43,0.86%,188.12,139.48,2.15%,2023/12/22
TXT,Textron Inc,17.8,80.43,0.36,0.45%,81.39,61.27,14.79%,2023/12/22
TYL,Tyler Technologies,27.6,415,2.51,0.61%,426.83,301.69,28.95%,2023/12/22
UAL,United Airlines Holdings Inc,1.5,42.55,-0.03,-0.07%,58.23,33.68,11.15%,2023/12/22
UBER,Uber Technologies Inc,145.2,61.71,0.25,0.41%,63.53,23.9,150.45%,2023/12/22
UDR,United Dominion Realty Trust,-4.1,37.65,0.37,0.99%,45.46,30.95,-2.00%,2023/12/22
UHS,Universal Health Services,15.2,153.08,2.07,1.37%,158.57,113.69,8.58%,2023/12/22
ULTA,Ulta Beauty Inc,4.7,471.36,-6.11,-1.28%,556.6,368.02,3.13%,2023/12/22
UNH,Unitedhealth Group Inc,1.2,520.31,0.43,0.08%,554.7,445.68,-1.29%,2023/12/22
UNP,Union Pacific Corp,22.8,243.58,1.47,0.61%,245.07,183.69,16.74%,2023/12/22
UPS,United Parcel Service,-11.8,158.25,1.09,0.69%,197.8,133.68,-9.89%,2023/12/22
URI,United Rentals,69,570.51,-0.44,-0.08%,582.63,325.15,62.59%,2023/12/22
USB,U.S. Bancorp,13,43.51,0.2,0.46%,49.95,27.27,1.54%,2023/12/22
V,Visa Inc,24.9,258.43,-1.11,-0.43%,263.25,203.52,26.03%,2023/12/22
VFC,V.F. Corp,-25.1,18.59,-0.62,-3.23%,32.13,12.85,-29.07%,2023/12/22
VICI,Vici Properties Inc,-2.4,31.34,-0.08,-0.25%,35.07,26.63,-2.70%,2023/12/22
VLO,Valero Energy Corp,7.5,132.2,0.28,0.21%,152.2,104.18,10.52%,2023/12/22
VLTO,Veralto Corporation,N/A,81.64,0.52,0.64%,89,65.51,N/A,2023/12/22
VMC,Vulcan Materials Company,28.6,224.93,1.65,0.74%,229.75,159.76,29.25%,2023/12/22
VRSK,Verisk Analytics Inc,29.8,236.2,1.19,0.51%,249.26,169.74,35.37%,2023/12/22
VRSN,Verisign Inc,-0.5,206.39,1.93,0.94%,229.72,188.44,1.46%,2023/12/22
VRTX,Vertex Pharmaceutic,41.7,405.25,4.62,1.15%,413,282.21,37.88%,2023/12/22
VTR,Ventas Inc,13.8,49.9,0.5,1.01%,53.15,39.33,10.25%,2023/12/22
VTRS,Viatris Inc,1.7,10.65,0,0.00%,12.4,8.74,-0.93%,2023/12/22
VZ,Verizon Communications Inc,1.1,37.49,0.06,0.16%,42.58,30.14,-2.14%,2023/12/22
WAB,Wabtec Corp,32.3,126.61,0.14,0.11%,127.57,91.89,26.48%,2023/12/22
WAT,Waters Corp,6.8,329.74,0.95,0.29%,350.97,231.9,-4.23%,2023/12/22
WBA,Walgreens Boots Alliance,-27.1,26.22,0.16,0.61%,38.76,19.68,-31.79%,2023/12/22
WBD,Discovery Inc Series A,4.5,11.27,-0.22,-1.91%,16.34,8.84,22.10%,2023/12/22
WDC,Western Digital Cp,73.6,52.66,0.28,0.53%,52.88,29.79,71.87%,2023/12/22
WEC,Wisconsin Energy Corp,-12.9,82.94,0.59,0.72%,99.26,75.47,-12.33%,2023/12/22
WELL,Welltower Inc,35.9,89.96,0.01,0.01%,93.42,63.79,39.41%,2023/12/22
WFC,Wells Fargo & Company,25.9,49.18,-0.27,-0.55%,50.77,35.25,20.89%,2023/12/22
WHR,Whirlpool Corp,-17.3,119.13,0.79,0.67%,160.74,98.4,-14.66%,2023/12/22
WM,Waste Management,14.2,176.95,0.14,0.08%,179.5,148.31,12.19%,2023/12/22
WMB,Williams Companies,8.7,35.14,0.17,0.49%,37.45,27.8,7.89%,2023/12/22
WMT,Walmart Inc,7.5,156.65,1.85,1.20%,169.94,136.09,9.18%,2023/12/22
WRB,W.R. Berkley Corp,3.5,70.21,0.45,0.65%,75.53,55.5,-3.80%,2023/12/22
WRK,Westrock Company,30.7,41.75,-0.16,-0.38%,43.58,26.84,19.87%,2023/12/22
WST,West Pharmaceutical Services,34.8,354.93,1.17,0.33%,415.73,225.66,50.87%,2023/12/22
WTW,Willis Towers Watson Public Ltd,2.3,240.09,1.74,0.73%,258.93,195.29,-0.91%,2023/12/22
WY,Weyerhaeuser Company,13.1,34.36,0.25,0.73%,36,27.65,10.66%,2023/12/22
WYNN,Wynn Resorts Ltd,1.8,90.42,-0.3,-0.33%,117.86,79.33,11.30%,2023/12/22
XEL,XCEL Energy Inc,-9.7,62.06,0.53,0.86%,72.97,53.73,-11.38%,2023/12/22
XOM,Exxon Mobil Corp,-8.4,101.91,0.18,0.18%,120.7,97.48,-3.75%,2023/12/22
XRAY,Dentsply Sirona Inc,5.7,35.22,0.03,0.09%,43.24,26.27,11.88%,2023/12/22
XYL,Xylem Inc,8.6,112.64,0.95,0.85%,118.58,87.59,2.58%,2023/12/22
YUM,Yum! Brands,0.7,130,0.02,0.02%,143.24,115.53,0.92%,2023/12/22
ZBH,Zimmer Biomet Holdings,-5.2,120.56,0.91,0.76%,149.25,102,-4.91%,2023/12/22
ZBRA,Zebra Technologies,6.9,269.41,4.1,1.55%,351.74,194.59,8.85%,2023/12/22
ZION,Zions Bancorp,16.1,44,0.38,0.87%,55.19,18.26,-8.86%,2023/12/22
ZTS,Zoetis Inc Cl A,32.5,194.98,0.32,0.16%,201.92,141.52,34.44%,2023/12/22
