Symbol,Name,Wtd Alpha,Last,Change,%Chg,52W High,52W Low,52W %Chg,Time
BWA,Borgwarner Inc,-17.2,35.83,-0.08,-0.22%,51.14,31.63,-9.45%,2023/12/22
BX,Blackstone Inc,80.4,130.69,1.55,1.20%,132.08,71.72,75.80%,2023/12/22
BXP,Boston Properties,14.7,70.87,-0.38,-0.53%,79.42,46.18,3.84%,2023/12/22
C,Citigroup Inc,19.1,50.86,0.26,0.51%,53.23,38.17,15.62%,2023/12/22
CAG,Conagra Brands Inc,-25.4,28.66,0.19,0.67%,41.3,25.16,-26.06%,2023/12/22
CAH,Cardinal Health,29.5,101.33,0.09,0.09%,108.85,68.53,25.78%,2023/12/22
CARR,Carrier Global Corp,37.3,57.1,0.18,0.32%,60.04,40.28,37.00%,2023/12/22
CAT,Caterpillar Inc,27.1,290.36,0.29,0.10%,298.27,204.04,22.24%,2023/12/22
CB,Chubb Ltd,5.2,220.77,0.75,0.34%,231.37,183.4,1.55%,2023/12/22
CBOE,CBOE Global Markets Inc,42.5,175.53,-0.58,-0.33%,183.74,116.11,41.26%,2023/12/22
CBRE,CBRE Group Inc,25.7,91.95,0.44,0.48%,92.65,64.63,21.50%,2023/12/22
CCI,Crown Castle Inc,-10.7,114.83,0.23,0.20%,153.98,84.72,-15.32%,2023/12/22
CCL,Carnival Corp,136.1,18.93,-0.26,-1.35%,19.74,7.53,140.23%,2023/12/22
CDAY,Ceridian Hcm Holding Inc,4.1,66.96,-0.33,-0.49%,79.66,55.62,8.38%,2023/12/22
CDNS,Cadence Design Sys,66.3,275.82,0.25,0.09%,279.33,154.88,70.51%,2023/12/22
CDW,CDW Corp,31.1,226.63,1.53,0.68%,226.85,160.66,27.45%,2023/12/22
CE,Celanese Corp,60.3,155.44,1.11,0.72%,156.98,97.12,53.70%,2023/12/22
CEG,Constellation Energy Corp,35.8,115.33,-2.98,-2.52%,127.24,71.16,32.06%,2023/12/22
CF,Cf Industries Holdings,-5.3,80.45,0.62,0.78%,91.43,60.08,-10.51%,2023/12/22
CFG,Citizens Financial Group Inc/Ri,-4.1,33.06,0.15,0.46%,44.82,22.77,-14.99%,2023/12/22
CHD,Church & Dwight Company,8.5,91.9,0.11,0.12%,100.52,78.63,12.29%,2023/12/22
CHRW,C.H. Robinson Ww,-7.7,87.27,1.42,1.65%,108.05,78.69,-5.61%,2023/12/22
CHTR,Charter Communications Inc,8.7,382.09,-1.42,-0.37%,458.3,315.02,17.97%,2023/12/22
CI,The Cigna Group,-4.3,298.09,0.85,0.29%,336,240.5,-10.56%,2023/12/22
CINF,Cincinnati Financial,-3.3,101.85,0,0.00%,130.66,95.01,-1.83%,2023/12/22
CL,Colgate-Palmolive Company,2.1,78.5,0.59,0.76%,82.09,67.62,-0.98%,2023/12/22
CLX,Clorox Company,-4,141.86,0.7,0.50%,178.21,114.68,-2.43%,2023/12/22
CMA,Comerica Inc,4.4,55.16,0.09,0.16%,77.34,28.4,-15.86%,2023/12/22
CMCSA,Comcast Corp A,21.8,44,-0.02,-0.05%,47.46,34.53,26.36%,2023/12/22
CME,CME Group Inc,23.3,214.31,0.54,0.25%,223.8,166.54,23.76%,2023/12/22
