Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
DLTR,Dollar Tree Inc,136.56,2.23,1.66%,137.13,135.34,1937400,2023/12/22
DXCM,Dexcom Inc,122.17,-0.63,-0.51%,122.61,120.23,1829000,2023/12/22
EA,Electronic Arts Inc,137.67,-0.21,-0.15%,138.7,137.27,1192300,2023/12/22
EBAY,Ebay Inc,43.82,0.09,0.21%,44.07,43.45,3330200,2023/12/22
ENPH,Enphase Energy Inc,133.99,0.13,0.10%,137.08,132.04,4146100,2023/12/22
EXC,Exelon Corp,35.26,0.19,0.54%,35.82,35.2,5795200,2023/12/22
FANG,Diamondback Energy,156.39,0.13,0.08%,158.32,155.98,1258600,2023/12/22
FAST,Fastenal Company,65.34,0.25,0.38%,65.57,65.19,2044500,2023/12/22
FTNT,Fortinet Inc,59.27,0.76,1.30%,59.53,58.56,5057400,2023/12/22
GEHC,Ge Healthcare Technologies Inc,77.58,0.39,0.51%,77.71,76.99,2197700,2023/12/22
GFS,Globalfoundries Inc,60.34,0.53,0.89%,60.84,59.78,855800,2023/12/22
GILD,Gilead Sciences Inc,79.66,0.73,0.92%,80,79.16,4109700,2023/12/22
GOOG,Alphabet Cl C,142.72,0.92,0.65%,143.25,142.05,18513500,2023/12/22
GOOGL,Alphabet Cl A,141.49,1.07,0.76%,141.99,140.71,26532201,2023/12/22
HON,Honeywell International Inc,205.64,0.59,0.29%,207.16,204.96,1889800,2023/12/22
IDXX,Idexx Laboratories,554.04,1.43,0.26%,557.13,551.3,310700,2023/12/22
ILMN,Illumina Inc,140,-0.23,-0.16%,142.89,138.1,1659600,2023/12/22
INTC,Intel Corp,48,0.92,1.95%,48.16,47.2,30095701,2023/12/22
INTU,Intuit Inc,624.07,3.08,0.50%,625.15,617.68,820700,2023/12/22
ISRG,Intuitive Surg Inc,336.26,2.81,0.84%,337.06,333.46,1025000,2023/12/22
JD,Jd.com Inc ADR,27.59,-0.39,-1.39%,27.92,27.18,11935200,2023/12/22
KDP,Keurig Dr Pepper Inc,32.83,0.31,0.95%,32.98,32.46,4467700,2023/12/22
KHC,Kraft Heinz Company,36.36,0.4,1.11%,36.42,35.98,5806200,2023/12/22
KLAC,K L A-Tencor Corp,582.65,2.2,0.38%,585,578.46,409700,2023/12/22
LCID,Lucid Group Inc,4.26,-0.07,-1.62%,4.38,4.25,21366201,2023/12/22
LRCX,Lam Research Corp,779.99,3.07,0.40%,784.1,773.62,525100,2023/12/22
LULU,Lululemon Athletica,510,-1.03,-0.20%,510.48,502.22,1179500,2023/12/22
MAR,Marriot Int Cl A,222.62,0.78,0.35%,223.12,220.88,994900,2023/12/22
MCHP,Microchip Technology,90.19,0.31,0.34%,91.41,89.66,2388600,2023/12/22
MDLZ,Mondelez Intl Inc,71.21,0.75,1.06%,71.57,70.75,4108900,2023/12/22
MELI,Mercadolibre Inc,1589.08,-9.25,-0.58%,1593,1575.57,301400,2023/12/22
META,Meta Platforms Inc,353.39,-0.7,-0.20%,357.2,351.22,11772700,2023/12/22
MNST,Monster Beverage Cp,56.01,0.63,1.14%,56.35,55.52,3942600,2023/12/22
MRNA,Moderna Inc,94.89,3.73,4.09%,96.49,91.95,6174800,2023/12/22
MRVL,Marvell Technology Inc,60.25,0,0.00%,60.67,59.71,3677600,2023/12/22
MSFT,Microsoft Corp,374.58,1.04,0.28%,375.18,372.71,17107400,2023/12/22
MU,Micron Technology,86.49,1.01,1.18%,87.49,85.62,22531799,2023/12/22
NFLX,Netflix Inc,486.76,-4.85,-0.99%,496.02,485.45,2702600,2023/12/22
NVDA,Nvidia Corp,488.3,-1.6,-0.33%,493.83,484.67,25250602,2023/12/22
NXPI,Nxp Semiconductors,228.95,-0.3,-0.13%,232.15,227.77,1033600,2023/12/22
ODFL,Old Dominion Freight Line Inc,412.97,3.76,0.92%,415.37,408.6,405500,2023/12/22
ON,On Semiconductor,84.01,0.36,0.43%,84.47,82.99,2432300,2023/12/22
ORLY,O'Reilly Automotive,952.06,-5.49,-0.57%,962.56,951.32,335100,2023/12/22
PANW,Palo Alto Networks Inc,298.21,-1.19,-0.40%,300.75,297.5,2391500,2023/12/22
PAYX,Paychex Inc,119.86,0.96,0.81%,121.1,118.58,2654400,2023/12/22
PCAR,Paccar Inc,97.47,0.57,0.59%,97.84,96.98,1118600,2023/12/22
PDD,Pdd Holdings Inc,144.48,-2.24,-1.53%,144.8,139.68,7568000,2023/12/22
